step,time,x0,x1,x2,x3,x4,x5,xhat0,xhat1,xhat2,xhat3,xhat4,xhat5
101,2.0200,0.4072,0.2801,-0.4655,0.1153,-1.4169,-0.6341,0.7012,0.5370,-0.4656,0.2496,1.0127,-0.6204
102,2.0400,0.4086,0.2497,-0.4582,0.0330,-1.6180,1.3629,0.7004,0.6023,-0.4463,0.1448,1.1795,1.3869
103,2.0600,0.4083,0.2150,-0.4301,-0.0453,-1.8494,1.4438,0.5593,0.5558,-0.4467,-0.6008,0.4180,1.4423
104,2.0800,0.4066,0.1768,-0.3902,-0.1173,-1.9717,2.5486,0.6981,0.5246,-0.4221,-0.0164,-0.0039,2.5336
105,2.1000,0.4034,0.1368,-0.3487,-0.1808,-2.0329,1.6006,0.6382,0.4854,-0.4043,-0.3740,-0.3662,1.5649
106,2.1200,0.3991,0.0961,-0.3126,-0.2372,-2.0402,2.0160,0.5238,0.3531,-0.3419,-0.9062,-1.3507,2.0041
107,2.1400,0.3938,0.0567,-0.2677,-0.2858,-1.8978,2.4726,0.5053,0.3173,-0.2877,-0.9610,-1.2880,2.4691
108,2.1600,0.3875,0.0201,-0.2200,-0.3251,-1.7597,2.2922,0.4805,0.2635,-0.2425,-1.0366,-1.3800,2.2867
109,2.1800,0.3806,-0.0135,-0.1753,-0.3556,-1.6027,2.1824,0.5269,0.2299,-0.1917,-0.7725,-1.2827,2.1823
110,2.2000,0.3731,-0.0441,-0.1380,-0.3780,-1.4551,1.5435,0.7098,0.2181,-0.1524,0.0845,-1.0379,1.5452
111,2.2200,0.3653,-0.0720,-0.1218,-0.3950,-1.3394,0.0747,0.5439,0.2145,-0.1200,-0.6807,-0.7969,0.0907
112,2.2400,0.3571,-0.0980,-0.1113,-0.4103,-1.2561,0.9826,0.6888,0.1748,-0.1251,-0.0039,-0.9060,0.9844
113,2.2600,0.3487,-0.1221,-0.1009,-0.4231,-1.1533,0.0549,0.5043,0.0920,-0.0919,-0.8357,-1.3174,0.0769
114,2.2800,0.3400,-0.1435,-0.0897,-0.4345,-0.9847,1.0687,0.4494,0.0416,-0.0766,-1.0206,-1.3503,1.0938
115,2.3000,0.3312,-0.1614,-0.0660,-0.4423,-0.8057,1.3006,-0.0660,-0.0398,-0.0743,-3.2635,-1.6103,1.3064
116,2.3200,0.3222,-0.1753,-0.0067,-0.4430,-0.5818,4.6284,-0.2906,-0.1383,-0.0204,-3.9893,-1.9228,4.6294
117,2.3400,0.3133,-0.1841,0.0954,-0.4272,-0.3036,5.5749,-0.1086,-0.1600,0.1007,-2.7983,-1.5352,5.5926
118,2.3600,0.3050,-0.1879,0.1841,-0.3919,-0.0758,3.2993,0.1909,-0.2206,0.1760,-1.1881,-1.5587,3.3049
119,2.3800,0.2975,-0.1870,0.2227,-0.3442,0.1625,0.5575,0.1493,-0.1832,0.2097,-1.2339,-0.8032,0.5587
120,2.4000,0.2910,-0.1825,0.2324,-0.2927,0.2934,0.4166,-0.0079,-0.1578,0.1958,-1.8034,-0.3584,0.3968
121,2.4200,0.2857,-0.1759,0.2503,-0.2390,0.3608,1.3671,0.1536,-0.1564,0.2205,-0.8756,-0.2291,1.3538
122,2.4400,0.2814,-0.1682,0.2633,-0.1818,0.4104,-0.0640,0.2164,-0.2280,0.2538,-0.4590,-0.7070,-0.0591
123,2.4600,0.2783,-0.1588,0.2539,-0.1245,0.5335,-0.8724,0.3561,-0.2443,0.2551,0.2617,-0.6105,-0.8582
124,2.4800,0.2763,-0.1470,0.2257,-0.0710,0.6454,-1.9517,0.2201,-0.3002,0.2172,-0.3320,-0.8496,-1.9463
125,2.5000,0.2753,-0.1326,0.1971,-0.0239,0.7964,-0.9054,0.0742,-0.2617,0.1870,-0.9192,-0.2763,-0.9015
126,2.5200,0.2752,-0.1160,0.1896,0.0195,0.8648,0.1512,-0.1534,-0.3082,0.1664,-1.8308,-0.5333,0.1435
127,2.5400,0.2760,-0.0976,0.2076,0.0637,0.9737,1.6557,0.0994,-0.3778,0.2230,-0.4758,-0.8943,1.6821
128,2.5600,0.2777,-0.0765,0.2185,0.1117,1.1399,-0.5713,0.2545,-0.3665,0.2437,0.3109,-0.5127,-0.5366
129,2.5800,0.2804,-0.0525,0.1939,0.1578,1.2529,-1.8816,0.3003,-0.4297,0.2237,0.5343,-0.8231,-1.8436
130,2.6000,0.2839,-0.0258,0.1537,0.1971,1.4155,-2.1450,0.4632,-0.5241,0.1547,1.2333,-1.2828,-2.1330
131,2.6200,0.2881,0.0048,0.1041,0.2274,1.6519,-2.8177,0.6308,-0.4873,0.0987,1.8927,-0.5758,-2.8115
132,2.6400,0.2929,0.0392,0.0405,0.2465,1.7876,-3.5394,0.6630,-0.5395,0.0430,1.8852,-0.7691,-3.5264
133,2.6600,0.2979,0.0767,-0.0280,0.2522,1.9558,-3.3054,0.3744,-0.4776,-0.0320,0.4209,-0.0096,-3.2984
134,2.6800,0.3029,0.1164,-0.0690,0.2463,2.0133,-0.7972,0.5615,-0.4618,-0.0793,1.2052,0.1685,-0.7958
135,2.7000,0.3077,0.1569,-0.0935,0.2348,2.0447,-1.6554,0.6773,-0.3064,-0.0996,1.6018,1.3868,-1.6503
136,2.7200,0.3122,0.1963,-0.1319,0.2169,1.8919,-2.1877,0.5383,-0.2328,-0.1275,0.8210,1.6043,-2.1735
137,2.7400,0.3163,0.2322,-0.1633,0.1914,1.7008,-0.9525,0.4436,-0.1213,-0.1330,0.3143,2.0498,-0.9157
138,2.7600,0.3198,0.2636,-0.1747,0.1617,1.4359,-0.1850,0.2506,-0.1060,-0.1399,-0.6016,1.6047,-0.1449
139,2.7800,0.3227,0.2903,-0.1645,0.1316,1.2298,1.2051,0.2116,-0.0922,-0.1345,-0.7515,1.2717,1.2403
140,2.8000,0.3250,0.3132,-0.1380,0.1052,1.0675,1.4449,0.3018,-0.0341,-0.1116,-0.3059,1.3774,1.4763
141,2.8200,0.3268,0.3327,-0.1166,0.0837,0.8839,0.6928,0.2130,0.0474,-0.1097,-0.7087,1.6300,0.7064
142,2.8400,0.3282,0.3481,-0.0970,0.0655,0.6564,1.2729,0.0869,0.0419,-0.0765,-1.2191,1.1222,1.2983
